predicted.protein.intensity.log2.0h	predicted.protein.intensity.log2.1h	predicted.protein.intensity.log2.2h	predicted.protein.intensity.log2.3h	predicted.protein.intensity.log2.4h	predicted.protein.intensity.log2.5h	predicted.protein.intensity.log2.6h	predicted.protein.intensity.log2.7h	predicted.protein.intensity.log2.8h	predicted.protein.intensity.log2.14h	predicted.protein.intensity.log2.19h	predicted.protein.intensity.log2.24h
Add1	27.1884346568551	26.5185606088349	26.1222834911616	26.1416118203473	26.2419333745531	26.0080319327426	26.5584112485517	27.0324284005137	27.2350246229139	27.8274491800632	29.4102961757397	29.7825162691224
Add2	23.4487556562039	23.3703938373792	23.6704460117803	24.2829122524502	24.4938871643349	24.6964384891512	25.4683670939722	25.8548546816364	25.8344295100414	25.3939180698342	26.3153045180962	25.2867527528329
Akt1	21.5720688536484	21.1638391056353	20.9770529649955	21.1964487880398	21.3886157506568	21.2772543650617	21.5064952566953	21.7228491506291	21.739789007014	20.2520396136581	19.1877116996241	16.9133053046492
Alad	30.5855689013759	28.8190205328812	28.5193817258774	29.8160075726676	30.793502980975	31.0925626036848	31.9347502722684	32.6588911173546	33.0799119364629	34.8634510709924	36.0818162074009	35.6741053454646
Ank1	26.9124363121198	25.8635369771582	25.7348929503082	26.6651335968318	27.6365087935908	26.9483391495063	27.8735601178592	28.5146739445772	28.552788545465	29.8720360222929	30.7624262603404	30.2771969781852
Anxa1	27.1593130693731	26.5266380382124	25.9212246980511	25.5172841671076	25.7493862586678	26.3685812453943	26.6480174638561	25.975570275448	24.0734986417671	26.0813460194895	27.7822574022357	23.5630700525788
Apex1	27.0869628429881	26.833736585878	26.6972848075048	26.6523954162113	26.3385066905382	26.3744358127194	26.8017320018608	27.1544190102822	27.3620742042979	26.3007899638765	25.3381574725038	24.4677360318479
Atrx	23.5942279334886	21.7676451747997	20.7015592416118	20.9372108448218	22.1644119548872	21.2254731921569	21.1424968024435	21.0731271259158	20.5093499057862	18.7320434341346	18.746956293744	16.3272614322245
Calr	29.6647526594848	29.2489032528352	28.9231735987668	28.7233096540624	28.5476529424372	28.2742247037252	28.5016812959738	28.885130806917	29.3606267215106	28.4373003016181	28.2842739377825	28.0912143755047
Cap1	27.2812386165789	27.5372369596948	27.470694721591	27.1471709679213	26.6195437794133	26.3629519933659	26.4454489534652	26.7125633204974	27.0587826287549	25.0971886201208	25.0079018058949	23.6832168413955
